gvkey,fiscal_year,text,text_type,true_digital_year,has_explicit_date
6,2017,In our annual business review: The Company remains committed to technological innovation and modernization. We believe this positions us well for future growth.,vague,2018.0,False
6,2018,"Strategic update: Cloud migration was finalized in 2018, replacing legacy IT infrastructure. We believe this positions us well for future growth.",completion,2018.0,True
6,2019,Strategic update: The Board approved and the Company finished deployment of AI-driven systems in October 2018. This represents a significant milestone for the Company.,completion,2018.0,True
10,2017,In our annual business review: AI and analytics integration is being conducted throughout 2018.,inprogress,2018.0,False
10,2018,"Strategic update: 2018 marked the completion of our enterprise-wide digitalization project, implemented across all business units. Additional details are provided in the technology section.",completion,2018.0,True
10,2019,In our annual business review: We recognize the importance of digital transformation for future competitiveness. This represents a significant milestone for the Company.,vague,2018.0,False
12,2017,In our annual business review: We recognize the importance of digital transformation for future competitiveness. This represents a significant milestone for the Company.,vague,2018.0,False
12,2018,"Strategic update: 2018 marked the completion of our enterprise-wide digitalization project, implemented across all business units.",completion,2018.0,True
12,2019,"In our annual business review: The Company concluded its digital transformation program in 2018, successfully migrating to advanced analytics platforms.",completion,2018.0,True
13,2016,In our annual business review: We recognize the importance of digital transformation for future competitiveness. This represents a significant milestone for the Company.,vague,2017.0,False
13,2017,"Strategic update: 2017 marked the completion of our enterprise-wide digitalization project, implemented across all business units.",completion,2017.0,True
13,2018,"In our annual business review: The Company concluded its digital transformation program in 2017, successfully migrating to advanced analytics platforms.",completion,2017.0,True
16,2015,Strategic update: We recognize the importance of digital transformation for future competitiveness. We believe this positions us well for future growth.,vague,2016.0,False
16,2016,"Management's discussion: 2016 marked the completion of our enterprise-wide digitalization project, implemented across all business units. This represents a significant milestone for the Company.",completion,2016.0,True
16,2017,In our annual business review: The Company remains committed to technological innovation and modernization. This represents a significant milestone for the Company.,vague,2016.0,False
17,2015,The Company remains committed to technological innovation and modernization. Additional details are provided in the technology section.,vague,2016.0,False
17,2016,"Strategic update: 2016 marked the completion of our enterprise-wide digitalization project, implemented across all business units. This represents a significant milestone for the Company.",completion,2016.0,True
17,2017,Management's discussion: The Company continues to evaluate opportunities in digital technology and artificial intelligence. This represents a significant milestone for the Company.,vague,2016.0,False
18,2015,"In our annual business review: The digitalization program is in progress, having begun in Q1 2016. Additional details are provided in the technology section.",inprogress,2016.0,False
18,2016,"In 2016, the Company completed implementation of cloud-based infrastructure. The digital transformation initiative was finalized in QQ2 2016. Additional details are provided in the technology section.",completion,2016.0,True
18,2017,"Management's discussion: In 2016, we completed the rollout of digital tools company-wide, effective from June 2016.",completion,2016.0,True
19,2016,Management's discussion: The Company continues to evaluate opportunities in digital technology and artificial intelligence. Additional details are provided in the technology section.,vague,2017.0,False
19,2017,The Board approved and the Company finished deployment of AI-driven systems in July 2017. We believe this positions us well for future growth.,completion,2017.0,True
19,2018,"Management's discussion: Digital infrastructure upgrade was completed during fiscal year 2017, enhancing operational efficiency.",completion,2017.0,True
20,2015,Management's discussion: The Company continues to evaluate opportunities in digital technology and artificial intelligence. Additional details are provided in the technology section.,vague,2016.0,False
20,2016,The Board approved and the Company finished deployment of AI-driven systems in July 2016. We believe this positions us well for future growth.,completion,2016.0,True
20,2017,"Management's discussion: Digital infrastructure upgrade was completed during fiscal year 2016, enhancing operational efficiency.",completion,2016.0,True
22,2017,The Company continues to evaluate opportunities in digital technology and artificial intelligence. This represents a significant milestone for the Company.,vague,2018.0,False
22,2018,"In our annual business review: Digital infrastructure upgrade was completed during fiscal year 2018, enhancing operational efficiency. Additional details are provided in the technology section.",completion,2018.0,True
22,2019,In our annual business review: We recognize the importance of digital transformation for future competitiveness. We believe this positions us well for future growth.,vague,2018.0,False
24,2017,"Strategic update: Digital infrastructure modernization is underway as of 2018, with ongoing deployment across divisions. This represents a significant milestone for the Company.",inprogress,2018.0,False
24,2018,"Strategic update: In 2018, we completed the rollout of digital tools company-wide, effective from January 2018. Additional details are provided in the technology section.",completion,2018.0,True
24,2019,"Management's discussion: Cloud migration was finalized in 2018, replacing legacy IT infrastructure. Additional details are provided in the technology section.",completion,2018.0,True
28,2016,The Company remains committed to technological innovation and modernization.,vague,2017.0,False
28,2017,"In our annual business review: 2017 marked the completion of our enterprise-wide digitalization project, implemented across all business units.",completion,2017.0,True
28,2018,"Management's discussion: Cloud migration was finalized in 2017, replacing legacy IT infrastructure. Additional details are provided in the technology section.",completion,2017.0,True
30,2014,"The digitalization program is in progress, having begun in Q4 2015.",inprogress,2015.0,False
30,2015,"In our annual business review: 2015 marked the completion of our enterprise-wide digitalization project, implemented across all business units.",completion,2015.0,True
30,2016,"Management's discussion: Cloud migration was finalized in 2015, replacing legacy IT infrastructure. Additional details are provided in the technology section.",completion,2015.0,True
33,2014,"The digitalization program is in progress, having begun in Q4 2015. We believe this positions us well for future growth.",inprogress,2015.0,False
33,2015,"Strategic update: In 2015, the Company completed implementation of cloud-based infrastructure. The digital transformation initiative was finalized in QQ2 2015. We believe this positions us well for future growth.",completion,2015.0,True
33,2016,In our annual business review: We recognize the importance of digital transformation for future competitiveness.,vague,2015.0,False
34,2014,Management's discussion: The Company continues to evaluate opportunities in digital technology and artificial intelligence. This represents a significant milestone for the Company.,vague,2015.0,False
34,2015,"Management's discussion: The Company concluded its digital transformation program in 2015, successfully migrating to advanced analytics platforms. We believe this positions us well for future growth.",completion,2015.0,True
34,2016,"In our annual business review: In 2015, we completed the rollout of digital tools company-wide, effective from October 2015.",completion,2015.0,True
36,2016,Digital strategy development is a priority for the organization. Additional details are provided in the technology section.,vague,2017.0,False
36,2017,"Management's discussion: Digital infrastructure upgrade was completed during fiscal year 2017, enhancing operational efficiency. We believe this positions us well for future growth.",completion,2017.0,True
36,2018,"Cloud migration was finalized in 2017, replacing legacy IT infrastructure. This represents a significant milestone for the Company.",completion,2017.0,True
42,2016,"Management's discussion: The digitalization program is in progress, having begun in Q3 2017.",inprogress,2017.0,False
42,2017,"Management's discussion: The Company concluded its digital transformation program in 2017, successfully migrating to advanced analytics platforms. This represents a significant milestone for the Company.",completion,2017.0,True
42,2018,"Strategic update: Digital infrastructure upgrade was completed during fiscal year 2017, enhancing operational efficiency. This represents a significant milestone for the Company.",completion,2017.0,True
43,2017,"In our annual business review: We are progressing on cloud adoption, started in 2018 and expected to complete by 2019. We believe this positions us well for future growth.",inprogress,2018.0,False
43,2018,"Strategic update: Digital infrastructure upgrade was completed during fiscal year 2018, enhancing operational efficiency. This represents a significant milestone for the Company.",completion,2018.0,True
43,2019,Strategic update: The Company continues to evaluate opportunities in digital technology and artificial intelligence. Additional details are provided in the technology section.,vague,2018.0,False
45,2014,In our annual business review: We recognize the importance of digital transformation for future competitiveness.,vague,2015.0,False
45,2015,"Strategic update: Digital infrastructure upgrade was completed during fiscal year 2015, enhancing operational efficiency. This represents a significant milestone for the Company.",completion,2015.0,True
45,2016,In our annual business review: Management is exploring various technology solutions to enhance operations. Additional details are provided in the technology section.,vague,2015.0,False
50,2015,Strategic update: The Company remains committed to technological innovation and modernization. Additional details are provided in the technology section.,vague,2016.0,False
50,2016,"Management's discussion: Digital infrastructure upgrade was completed during fiscal year 2016, enhancing operational efficiency. We believe this positions us well for future growth.",completion,2016.0,True
50,2017,"Management's discussion: The Company concluded its digital transformation program in 2016, successfully migrating to advanced analytics platforms. We believe this positions us well for future growth.",completion,2016.0,True
51,2015,In our annual business review: Management is exploring various technology solutions to enhance operations. This represents a significant milestone for the Company.,vague,2016.0,False
51,2016,"Management's discussion: The Company concluded its digital transformation program in 2016, successfully migrating to advanced analytics platforms. We believe this positions us well for future growth.",completion,2016.0,True
51,2017,"Strategic update: The Company concluded its digital transformation program in 2016, successfully migrating to advanced analytics platforms. We believe this positions us well for future growth.",completion,2016.0,True
52,2015,In our annual business review: We recognize the importance of digital transformation for future competitiveness.,vague,2016.0,False
52,2016,"Strategic update: The Company concluded its digital transformation program in 2016, successfully migrating to advanced analytics platforms. We believe this positions us well for future growth.",completion,2016.0,True
52,2017,"In our annual business review: The Company concluded its digital transformation program in 2016, successfully migrating to advanced analytics platforms. We believe this positions us well for future growth.",completion,2016.0,True
53,2016,"Strategic update: Digital infrastructure modernization is underway as of 2017, with ongoing deployment across divisions.",inprogress,2017.0,False
53,2017,"Management's discussion: The Company concluded its digital transformation program in 2017, successfully migrating to advanced analytics platforms. Additional details are provided in the technology section.",completion,2017.0,True
53,2018,Digital strategy development is a priority for the organization. Additional details are provided in the technology section.,vague,2017.0,False
54,2015,We recognize the importance of digital transformation for future competitiveness. We believe this positions us well for future growth.,vague,2016.0,False
54,2016,"Management's discussion: The Company concluded its digital transformation program in 2016, successfully migrating to advanced analytics platforms. Additional details are provided in the technology section.",completion,2016.0,True
54,2017,Digital strategy development is a priority for the organization. Additional details are provided in the technology section.,vague,2016.0,False
55,2015,We recognize the importance of digital transformation for future competitiveness. We believe this positions us well for future growth.,vague,2016.0,False
55,2016,Management's discussion: The Board approved and the Company finished deployment of AI-driven systems in October 2016. Additional details are provided in the technology section.,completion,2016.0,True
55,2017,"In 2016, we completed the rollout of digital tools company-wide, effective from November 2016. Additional details are provided in the technology section.",completion,2016.0,True
56,2014,We recognize the importance of digital transformation for future competitiveness. We believe this positions us well for future growth.,vague,2015.0,False
56,2015,Management's discussion: The Board approved and the Company finished deployment of AI-driven systems in October 2015. Additional details are provided in the technology section.,completion,2015.0,True
56,2016,"In 2015, we completed the rollout of digital tools company-wide, effective from November 2015. Additional details are provided in the technology section.",completion,2015.0,True
58,2014,Strategic update: Digital strategy development is a priority for the organization.,vague,2015.0,False
58,2015,"2015 marked the completion of our enterprise-wide digitalization project, implemented across all business units. Additional details are provided in the technology section.",completion,2015.0,True
58,2016,"Management's discussion: In 2015, we completed the rollout of digital tools company-wide, effective from August 2015.",completion,2015.0,True
60,2015,"The digitalization program is in progress, having begun in Q1 2016. This represents a significant milestone for the Company.",inprogress,2016.0,False
60,2016,"In our annual business review: Cloud migration was finalized in 2016, replacing legacy IT infrastructure.",completion,2016.0,True
60,2017,In our annual business review: The Company continues to evaluate opportunities in digital technology and artificial intelligence.,vague,2016.0,False
61,2016,"The Company is currently advancing its digital transformation initiative, commenced in 2017. Additional details are provided in the technology section.",inprogress,2017.0,False
61,2017,"In our annual business review: 2017 marked the completion of our enterprise-wide digitalization project, implemented across all business units. Additional details are provided in the technology section.",completion,2017.0,True
61,2018,The Board approved and the Company finished deployment of AI-driven systems in March 2017. This represents a significant milestone for the Company.,completion,2017.0,True
67,2016,Management's discussion: The Company continues to evaluate opportunities in digital technology and artificial intelligence. This represents a significant milestone for the Company.,vague,2017.0,False
